job_id,title,company,location,zip_code,state,source,ats,department,is_remote,job_url,job_types,tags,salary,published_at,start_date_raw,modified_at,ingested_at,is_english,work_style,language_requirement,region,date_added,date_expired
sem_akkodis-germany-tech-experts_cloud-infrastructure-engineer_n-rnberg-mittelfranken,Cloud & Infrastructure Engineer (m/w/d),Akkodis Germany Tech Experts GmbH,"Nürnberg, Mittelfranken",90489.0,Bayern,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-642072-7878-6969-S,,,,,2026-07-01,2026-07-01T10:08:20.397,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_akkodis-germany-tech-experts_data-ai-analyst_n-rnberg-mittelfranken,Data & AI Analyst (m/w/d),Akkodis Germany Tech Experts GmbH,"Nürnberg, Mittelfranken",90489.0,Bayern,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-642025-7878-9529-S,,,,,2026-07-01,2026-07-01T10:08:20.315,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_bosch-group_hr-operations-specialist-german-speaking_vecs-s-hu,HR Operations Specialist-German Speaking,Bosch Group,"Vecsés, hu",,,direct,smartrecruiters,,False,https://jobs.smartrecruiters.com/BoschGroup/744000135751906,Full-time,,,2026-07-03T14:39:37.457Z,,2026-07-03T14:39:37.457Z,2026-07-06T07:00:46.082166+00:00,True,onsite,english_only,Hungary,2026-07-06,2026-07-06
sem_bosch-group_kalibr-l-si-s-tesztel-si-folyamatfejleszt-m-rn-k-calibration-and-testing-process-development-engineer_miskolc-hu,Kalibrálási- és tesztelési folyamatfejlesztő mérnök | Calibration- and Testing Process development engineer,Bosch Group,"Miskolc, hu",,,direct,smartrecruiters,,False,https://jobs.smartrecruiters.com/BoschGroup/744000130191630,Full-time,,,2026-06-04T10:51:29.248Z,,2026-06-04T10:51:29.248Z,2026-07-06T07:00:46.082166+00:00,True,onsite,english_only,Hungary,2026-07-06,2026-07-06
sem_bosch-group_masterarbeit-im-qualit-tsmanagement-prozessanalyse-konzepterstellung-f-r-die-r-ckverfolgbarkeit-von-produkten-im-produktlebenszyklus_gunzenhausen-by-de,Masterarbeit im Qualitätsmanagement - Prozessanalyse & Konzepterstellung für die Rückverfolgbarkeit von Produkten im Produktlebenszyklus,Bosch Group,"Gunzenhausen, BY, de",,,direct,smartrecruiters,,False,https://jobs.smartrecruiters.com/BoschGroup/744000131047634,Full-time,Master Thesis,,2026-06-09T06:26:56.473Z,,2026-06-09T06:26:56.473Z,2026-07-06T07:00:46.082166+00:00,False,onsite,german_required,Belarus,2026-07-06,2026-07-06
sem_bosch-group_pflichtpraktikum-hr-digital-content-management_gerlingen-bw-de,Pflichtpraktikum HR Digital Content Management,Bosch Group,"Gerlingen, BW, de",,,direct,smartrecruiters,,False,https://jobs.smartrecruiters.com/BoschGroup/744000135457519,Full-time,,,2026-07-02T09:39:44.200Z,,2026-07-02T09:39:44.200Z,2026-07-06T07:00:46.082166+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_bosch-group_senior-specialist-customs-classification-f-m_d-wojew-dztwo-dzkie-pl,Senior Specialist – Customs Classification (f/m),Bosch Group,"Łódź, województwo łódzkie, pl",,,direct,smartrecruiters,,False,https://jobs.smartrecruiters.com/BoschGroup/744000134986699,Full-time,,,2026-06-30T10:59:05.644Z,,2026-06-30T10:59:05.644Z,2026-07-06T07:00:46.082166+00:00,True,onsite,english_only,Poland,2026-07-06,2026-07-06
sem_cancom-austria_data-engineer_bundesland-wien,Data Engineer,CANCOM Austria AG,Bundesland: Wien,,,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/11949-17255311-S,,Data Engineering,,,2026-07-04,2026-07-03T17:12:12.423,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Austria,2026-07-06,2026-07-06
sem_celonis_application-product-manager-ai-system-transformations_munich-germany,Application Product Manager - (AI System Transformations),Celonis,"Munich, Germany",,,direct,greenhouse,Value Engineering,False,https://job-boards.greenhouse.io/celonis/jobs/7788415003?gh_jid=7788415003,,,,,,2026-06-30T12:23:22-04:00,2026-07-06T07:00:46.082166+00:00,True,hybrid,english_only,Germany,2026-07-06,2026-07-06
sem_delivery-hero_account-manager-smb-italy_milano-it,Account Manager SMB Italy,Delivery Hero,"Milano, it",,,direct,smartrecruiters,,False,https://jobs.smartrecruiters.com/DeliveryHero/744000130827688,Full-time,,,2026-06-08T14:53:31.402Z,,2026-06-08T14:53:31.402Z,2026-07-06T07:00:46.082166+00:00,True,onsite,english_only,Italy,2026-07-06,2026-07-06
