date,new_jobs
2026-07-06,3755
2026-07-10,632
2026-07-11,12
2026-07-12,54
2026-07-13,172
2026-07-14,204
2026-07-15,183
2026-07-16,174
2026-07-17,381
2026-07-18,31
2026-07-19,15
2026-07-20,212
2026-07-21,194
2026-07-22,228
2026-07-23,219
2026-07-24,230
2026-07-25,50
2026-07-26,18
2026-07-27,243
2026-07-28,259
2026-07-29,259
2026-07-30,264
2026-07-31,266
2026-08-01,118
2026-08-02,54
2026-08-03,44
2026-08-04,105
2026-08-05,94
2026-08-06,70
2026-08-07,226
2026-08-08,1285
2026-08-09,1178
2026-08-10,1093
2026-08-11,342
2026-08-12,295
2026-08-13,655
2026-08-14,1113
2026-08-15,1050
2026-08-16,438
2026-08-17,669
2026-08-18,677
2026-08-19,972
2026-08-20,839
2026-08-21,1172
2026-08-22,268
2026-08-23,233
